year	rarity
2014	0.412
2014	2.46
2017	4.1
2016	0.666666666667
2016	1.0
2016	1.71428571429
2016	1.49444444444
2016	1.87692307692
2014	1.62666666667
2016	1.95625
2014	1.27857142857
2014	1.08260869565
2010	1.66
2016	0.94
2017	1.34166666667
2015	0.894444444444
2006	1.4
2017	1.37857142857
2017	0.968
2017	1.12857142857
2017	1.3272727272700002
2016	1.28823529412
2017	0.8759999999999999
2016	1.5
2016	1.57222222222
2013	2.0
2016	1.70769230769
2017	1.87777777778
2016	1.464
2015	3.32727272727
2016	1.6
2017	4.525
2017	4.76315789474
2013	2.55714285714
2014	1.58333333333
2015	1.11764705882
2016	1.02702702703
2014	1.275
2016	1.02
2017	1.03333333333
2016	1.5319999999999998
2015	1.0375
2013	2.69411764706
2016	1.99130434783
2014	3.05333333333
2016	1.2666666666700002
2016	1.2666666666700002
2014	4.16315789474
2008	2.92258064516
2016	1.18
2014	1.97333333333
2017	0.982352941176
2016	1.6125
2017	1.39459459459
2014	0.938181818182
2016	1.3475
2015	4.9
2017	3.36875
2015	1.44705882353
2015	8.74
2013	3.69285714286
2013	2.585
2006	4.136
2014	1.53513513514
2016	1.42
2016	2.1
2017	1.87894736842
2017	2.23125
2016	2.975
2017	1.2
2016	1.2
2013	0.931914893617
2014	1.41333333333
2016	0.7785714285709999
2016	0.545
2016	0.7785714285709999
2014	1.67567567568
2016	1.40909090909
2017	0.775
2006	2.33333333333
2016	1.37333333333
2017	1.23076923077
2013	0.8
2017	1.0
2008	0.290322580645
2017	1.43636363636
2013	1.43636363636
2007	1.12857142857
2017	0.942857142857
2015	1.288
2015	1.14736842105
2016	1.17837837838
2017	1.21111111111
2016	1.83333333333
2014	2.56481481481
2004	2.216
2017	1.14
2017	1.23021582734
2015	2.06666666667
2016	4.65
2014	2.51351351351
2016	0.955
2016	1.36428571429
2017	1.0324324324299998
2016	0.7909090909090001
2016	1.525
2017	0.928571428571
2017	1.0666666666700002
2017	3.90833333333
2016	1.2666666666700002
2017	1.63333333333
2012	3.09473684211
2017	1.59333333333
2015	1.3657142857100002
2016	1.32777777778
2016	1.49375
2016	1.51428571429
2017	4.28571428571
2015	4.28571428571
2017	1.0
2011	1.50666666667
2017	1.02857142857
2013	1.22222222222
2016	2.80612244898
2011	2.25333333333
2016	0.895
2015	1.15
2016	1.91666666667
2017	1.49166666667
2013	0.76170212766
2005	1.432
2015	1.12666666667
2017	1.33125
2016	1.24
2016	2.06666666667
2016	2.36666666667
2015	1.40869565217
2017	1.90588235294
2016	2.025
2014	0.926666666667
2016	1.0692307692299998
2015	0.888
2017	1.59375
2015	0.435897435897
2017	1.55833333333
2014	1.24666666667
2017	1.21428571429
2015	1.7
2016	1.36428571429
2016	0.868181818182
2017	1.305
2017	1.635
2017	1.98181818182
2015	1.0
2017	1.41818181818
2015	1.45
2015	1.15333333333
2017	1.23571428571
2017	1.22
2014	1.26
2016	2.11428571429
2016	1.97333333333
2017	1.6444444444400002
2016	2.15882352941
2017	1.835
2014	1.0266666666700002
2016	1.77692307692
2017	1.696
2017	3.02857142857
2010	2.65
2007	3.14074074074
2015	1.49090909091
2016	1.25454545455
2012	2.15625
2013	2.4642857142900003
2017	4.6
2017	0.771428571429
2014	0.4320000000000001
2015	1.05789473684
2017	1.21428571429
2016	0.924324324324
2015	0.684
2015	1.17777777778
2012	1.48636363636
2017	2.18
2016	1.68333333333
2016	1.14666666667
2016	0.955555555556
2010	2.14
2015	1.605
2017	1.192
2014	1.192
2017	0.8733333333329999
2015	0.7485714285709999
2016	2.44
2015	4.88
2010	3.75384615385
2014	1.12666666667
2017	1.1181818181799998
2010	0.76875
2004	1.1181818181799998
2016	0.995
2009	2.875
2016	1.755
2015	1.4625
2009	1.72
2014	1.81052631579
2014	2.99130434783
2017	0.7785714285709999
2016	0.622857142857
2016	0.68125
2017	0.625
2016	1.71666666667
2009	1.17714285714
2016	1.79591836735
2015	1.35384615385
2014	1.1733333333299998
2008	1.13548387097
2014	1.21111111111
2017	1.28235294118
2017	1.81666666667
2014	1.99
2014	3.0615384615400005
